Capability ID|Capability|Maturity|Source owner|Consumer|Focused test|Lifecycle test|User doc|Source-to-sink trace
CAP-NAMED-SPARSE|Named sparse vectors per collection|experimental|crates/context-pg/src/vector_catalog.rs|crates/context-pg/src/sparse_search.rs|crates/context-pg/src/pg_tests/vector_registration.rs#register_sparse_vector_records_checked_sparse_column_metadata|crates/context-pg/src/pg_tests/client_examples.rs#named_dense_sparse_vector_example_uses_current_sql_surfaces|docs/user_guide/collections.md|registered sparse name column dimension and metric feed exact sparse search and hybrid fusion
CAP-LATE-INTERACTION|Multi-vector and late-interaction query|experimental|crates/context-pg/src/hybrid_query/late_interaction.rs|crates/context-pg/src/hybrid_query/late_interaction_ann.rs|crates/context-pg/src/pg_tests/late_interaction_ann.rs#late_interaction_ann_search_dedupes_candidates_and_exact_reranks|tests/heavy/late_interaction_ann_serving.sh#late_interaction_ann_deleted_recheck|docs/user_guide/vector_search.md|typed token ANN candidates are deduplicated then source rows are rechecked and exact MaxSim reranked
CAP-RECOMMEND|Recommendation search|stable|crates/context-pg/src/table_search/recommend.rs|crates/context-pg/src/table_search.rs|crates/context-pg/src/pg_tests/recommendation.rs#recommend_from_positive_point_ids_excludes_examples_and_ranks_exactly|crates/context-pg/src/pg_tests/recommendation.rs#recommend_rejects_deleted_point_examples|docs/user_guide/vector_search.md|visible example points or raw vectors form a query consumed by exact ranked search
CAP-DISCOVER|Discovery or explore search|stable|crates/context-pg/src/table_search/recommend.rs|crates/context-pg/src/table_search.rs|crates/context-pg/src/pg_tests/discovery.rs#discover_returns_farthest_active_points_from_context_centroid|crates/context-pg/src/pg_tests/discovery.rs#discover_rejects_deleted_context_points|docs/user_guide/vector_search.md|visible context points form a centroid consumed by deterministic diversity ranking
CAP-QUERY-CONSTRUCTORS|Query constructors|stable|crates/context-query/src/validation.rs|crates/context-pg/src/query_builders.rs|crates/context-query/tests/application_policy.rs#query_constructor_validation_preserves_the_stable_json_builder_contract|crates/context-pg/src/pg_tests/query_builders.rs#query_formula_rejects_513_byte_formulas|docs/user_guide/vector_search.md|pure validation feeds the stable client-side JSON constructors; executable composite dispatch remains post-V1 work under the public Composite Query Execution roadmap section
CAP-GROUPED-SEARCH|Grouped search|stable|crates/context-pg/src/table_search/grouped.rs|crates/context-pg/src/table_search.rs|crates/context-pg/src/pg_tests/grouped_search.rs#grouped_search_returns_nearest_rows_per_registered_column_group|crates/context-pg/src/pg_tests/grouped_search.rs#grouped_search_selects_named_dense_vector|docs/user_guide/collections.md|registered group fields consume visible exact results and enforce deterministic per-group limits
CAP-PAYLOAD-MUTATIONS|Payload mutation helpers|stable|crates/context-pg/src/payload_mutations.rs|crates/context-pg/src/payload_catalog.rs|crates/context-pg/src/pg_tests/payload_mutations.rs#set_payload_updates_jsonb_paths_and_typed_columns|crates/context-pg/src/pg_tests/payload_mutations.rs#set_payload_rejects_unknown_points_without_partial_updates|docs/user_guide/collections.md|registered payload metadata renders bounded authoritative source-table mutations
CAP-BULK-POINTS|Bulk point backfill APIs|stable|crates/context-pg/src/points.rs|crates/context-pg/src/catalog.rs|crates/context-pg/src/pg_tests/point_mapping.rs#backfill_points_scans_source_table_in_bounded_batches|crates/context-pg/src/pg_tests/transaction_rollback.rs#rolled_back_upsert_points_leaves_no_point_rows|docs/user_guide/collections.md|bounded source scans feed idempotent point mapping batches and progress diagnostics
CAP-IVFFLAT|IVFFlat|intentionally different|docs/user_guide/indexes.md#IVFFlat|docs/user_guide/pgvector_migration.md#IVFFlat|scripts/check-capability-contract.sh#CAP-IVFFLAT|scripts/check-parity-matrix.sh#intentionally different|docs/user_guide/indexes.md|the v1 migration consumer keeps pgvector IVFFlat or selects exact and HNSW paths explicitly
CAP-POSTGRES-NATIVE|PostgreSQL-native ACL, RLS, transactions, and backups|intentionally different|crates/context-pg/src/catalog_schema.rs|crates/context-pg/src/table_search.rs|crates/context-pg/src/pg_tests/transaction_rollback.rs#rolled_back_create_collection_leaves_no_catalog_row|tests/heavy/rls_acl_boundary.sh#expect_search_denied|docs/user_guide/security.md|PostgreSQL privileges visibility transactions WAL and backup remain authoritative end to end
CAP-REBUILDABLE-ARTIFACTS|Rebuildable acceleration artifacts|intentionally different|crates/context-pg/src/artifact_segments.rs|crates/context-pg/src/artifact_segments/serving_readiness.rs|crates/context-pg/src/pg_tests/artifact_segments.rs#artifact_segment_sql_round_trips_hnsw_payload_metadata|tests/heavy/corrupt_artifact_detection.sh#segment_format|docs/user_guide/storage.md|versioned acceleration artifacts validate readiness and can be discarded and rebuilt from PostgreSQL
